date	year	month	day	sample_depth	gene	domain_name	division_name	class_name	lowest_classification_name	placement_type	RR_count
14_4_22	14	4	22	CM	18s	Eukaryota	Alveolata	Ciliophora	Choreotrichia	confident	34
14_4_22	14	4	22	CM	18s	Eukaryota	Alveolata	Ciliophora	Scuticociliatia	confident	2
14_4_22	14	4	22	CM	18s	Eukaryota	Alveolata	Ciliophora	Spirotrichea	confident	2
14_4_22	14	4	22	CM	18s	Eukaryota	Alveolata	Ciliophora	Strombidiidae	confident	190
14_4_22	14	4	22	CM	18s	Eukaryota	Alveolata	Ciliophora	Tintinnopsis	confident	2
14_4_22	14	4	22	CM	18s	Eukaryota	Alveolata	Dinophyceae	Dinophyceae	confident	451
14_4_22	14	4	22	CM	18s	Eukaryota	Alveolata	Dinophyceae	Gymnodiniales	confident	680
14_4_22	14	4	22	CM	18s	Eukaryota	Alveolata	Dinophyceae	Peridiniales	confident	6352
14_4_22	14	4	22	CM	18s	Eukaryota	Alveolata	Dinophyceae	Polykrikaceae	confident	36
14_4_22	14	4	22	CM	18s	Eukaryota	Alveolata	Dinophyceae	Protoperidinium	confident	55
14_4_22	14	4	22	CM	18s	Eukaryota	Alveolata	Dinophyceae	Syndiniales	confident	8
14_4_22	14	4	22	CM	18s	Eukaryota	Alveolata	Dinophyceae	environmental samples	confident	199
14_4_22	14	4	22	CM	18s	Eukaryota	Amoebozoa	Discosea	Acanthamoeba	confident	7
14_4_22	14	4	22	CM	18s	Eukaryota	Amoebozoa	Mycetozoa	Stemonitis	confident	2
14_4_22	14	4	22	CM	18s	Eukaryota	Cryptophyta	Pyrenomonadales	Pyrenomonadaceae	confident	7
14_4_22	14	4	22	CM	18s	Eukaryota	Opisthokonta	Fungi	Sordariomycetidae	confident	15
14_4_22	14	4	22	CM	18s	Eukaryota	Opisthokonta	Metazoa	Ascidiacea	confident	7
14_4_22	14	4	22	CM	18s	Eukaryota	Opisthokonta	Metazoa	Asteriidae	confident	63
14_4_22	14	4	22	CM	18s	Eukaryota	Opisthokonta	Metazoa	Calanoida	confident	11325
14_4_22	14	4	22	CM	18s	Eukaryota	Opisthokonta	Metazoa	Calcaxonia	confident	40
14_4_22	14	4	22	CM	18s	Eukaryota	Opisthokonta	Metazoa	Centropages	confident	73
14_4_22	14	4	22	CM	18s	Eukaryota	Opisthokonta	Metazoa	Eumetazoa	confident	6
14_4_22	14	4	22	CM	18s	Eukaryota	Opisthokonta	Metazoa	Heteronemertea	confident	35
14_4_22	14	4	22	CM	18s	Eukaryota	Opisthokonta	Metazoa	Macoma	confident	10
14_4_22	14	4	22	CM	18s	Eukaryota	Opisthokonta	Metazoa	Montacutidae	confident	30
14_4_22	14	4	22	CM	18s	Eukaryota	Opisthokonta	Metazoa	Nemertodermatidae	confident	7
14_4_22	14	4	22	CM	18s	Eukaryota	Opisthokonta	Metazoa	Oweniidae	confident	9
14_4_22	14	4	22	CM	18s	Eukaryota	Opisthokonta	Metazoa	Pectinoidea	confident	6
14_4_22	14	4	22	CM	18s	Eukaryota	Opisthokonta	Metazoa	Peracarida	confident	5
14_4_22	14	4	22	CM	18s	Eukaryota	Opisthokonta	Metazoa	Ploima	confident	8
14_4_22	14	4	22	CM	18s	Eukaryota	Opisthokonta	Metazoa	Podoplea	confident	2
14_4_22	14	4	22	CM	18s	Eukaryota	Opisthokonta	Metazoa	Polynoidae	confident	68
