date	year	month	day	sample_depth	gene	domain_name	division_name	class_name	lowest_classification_name	placement_type	RR_count
14_4_22	14	4	22	CM	18s	Eukaryota	Alveolata	Dinophyceae	Dinophyceae	fuzzy	13
14_4_22	14	4	22	CM	18s	Eukaryota	Alveolata	Dinophyceae	Gymnodiniales	fuzzy	255
14_4_22	14	4	22	CM	18s	Eukaryota	Alveolata	Dinophyceae	Peridiniales	fuzzy	36
14_4_22	14	4	22	CM	18s	Eukaryota	Alveolata	Dinophyceae	Protoperidinium	fuzzy	2
14_4_22	14	4	22	CM	18s	Eukaryota	Alveolata	Dinophyceae	Syndiniales	fuzzy	3
14_4_22	14	4	22	CM	18s	Eukaryota	Opisthokonta	Metazoa	Calanoida	fuzzy	55
14_4_22	14	4	22	CM	18s	Eukaryota	Opisthokonta	Metazoa	Calcaxonia	fuzzy	16
14_4_22	14	4	22	CM	18s	Eukaryota	Opisthokonta	Metazoa	Nemertodermatidae	fuzzy	2
14_4_22	14	4	22	CM	18s	Eukaryota	Stramenopiles	Bacillariophyta	Biddulphiaceae	fuzzy	2
14_4_22	14	4	22	CM	18s	Eukaryota	Stramenopiles	Bacillariophyta	Biddulphiophycidae	fuzzy	3
14_4_22	14	4	22	CM	18s	Eukaryota	Stramenopiles	Bacillariophyta	Thalassiosiraceae	fuzzy	9
14_4_22	14	4	22	CM	18s	Eukaryota	Stramenopiles	NO MATCH	Stramenopiles	fuzzy	5
14_4_22	14	4	22	CM	18s	Eukaryota	Stramenopiles	Synurophyceae	Synurophyceae	fuzzy	6
14_4_22	14	4	22	DP	18s	Eukaryota	Alveolata	Apicomplexa	Piroplasmida	fuzzy	2
14_4_22	14	4	22	DP	18s	Eukaryota	Alveolata	Ciliophora	Intramacronucleata	fuzzy	2
14_4_22	14	4	22	DP	18s	Eukaryota	Alveolata	Ciliophora	Spirotrichea	fuzzy	3
14_4_22	14	4	22	DP	18s	Eukaryota	Alveolata	Ciliophora	Strombidiidae	fuzzy	5
14_4_22	14	4	22	DP	18s	Eukaryota	Alveolata	Ciliophora	Tintinnopsis	fuzzy	3
14_4_22	14	4	22	DP	18s	Eukaryota	Alveolata	Dinophyceae	Dinophyceae	fuzzy	72
14_4_22	14	4	22	DP	18s	Eukaryota	Alveolata	Dinophyceae	Gymnodiniales	fuzzy	660
14_4_22	14	4	22	DP	18s	Eukaryota	Alveolata	Dinophyceae	Peridiniales	fuzzy	98
14_4_22	14	4	22	DP	18s	Eukaryota	Alveolata	Dinophyceae	Polykrikaceae	fuzzy	31
14_4_22	14	4	22	DP	18s	Eukaryota	Alveolata	Dinophyceae	Protoperidinium	fuzzy	10
14_4_22	14	4	22	DP	18s	Eukaryota	Alveolata	Dinophyceae	Syndiniales	fuzzy	5
14_4_22	14	4	22	DP	18s	Eukaryota	Alveolata	Dinophyceae	environmental samples	fuzzy	4
14_4_22	14	4	22	DP	18s	Eukaryota	Amoebozoa	Mycetozoa	Stemonitis	fuzzy	6
14_4_22	14	4	22	DP	18s	Eukaryota	Opisthokonta	Fungi	Sordariomycetidae	fuzzy	12
14_4_22	14	4	22	DP	18s	Eukaryota	Opisthokonta	Metazoa	Aciculata	fuzzy	3
14_4_22	14	4	22	DP	18s	Eukaryota	Opisthokonta	Metazoa	Ampharetidae	fuzzy	3
14_4_22	14	4	22	DP	18s	Eukaryota	Opisthokonta	Metazoa	Anopla	fuzzy	16
14_4_22	14	4	22	DP	18s	Eukaryota	Opisthokonta	Metazoa	Calanoida	fuzzy	97
14_4_22	14	4	22	DP	18s	Eukaryota	Opisthokonta	Metazoa	Calcaxonia	fuzzy	105
14_4_22	14	4	22	DP	18s	Eukaryota	Opisthokonta	Metazoa	Cyclopoida	fuzzy	25
14_4_22	14	4	22	DP	18s	Eukaryota	Opisthokonta	Metazoa	Hesionidae	fuzzy	14
14_4_22	14	4	22	DP	18s	Eukaryota	Opisthokonta	Metazoa	Lepraliomorpha	fuzzy	2
14_4_22	14	4	22	DP	18s	Eukaryota	Opisthokonta	Metazoa	Neritoidea	fuzzy	2
14_4_22	14	4	22	DP	18s	Eukaryota	Opisthokonta	Metazoa	Phyllodocida	fuzzy	3
14_4_22	14	4	22	DP	18s	Eukaryota	Opisthokonta	Metazoa	Unguiphora	fuzzy	23
14_4_22	14	4	22	DP	18s	Eukaryota	Opisthokonta	Opisthokonta incertae sedis	Opisthokonta incertae sedis	fuzzy	2
14_4_22	14	4	22	DP	18s	Eukaryota	Rhizaria	Cercozoa	Cercomonadida	fuzzy	7
14_4_22	14	4	22	DP	18s	Eukaryota	Rhizaria	Cercozoa	Cercomonadidae	fuzzy	8
14_4_22	14	4	22	DP	18s	Eukaryota	Rhizaria	Cercozoa	Cercozoa	fuzzy	9
14_4_22	14	4	22	DP	18s	Eukaryota	Rhizaria	Cercozoa	Lotharella	fuzzy	3
14_4_22	14	4	22	DP	18s	Eukaryota	Rhizaria	Cercozoa	Silicofilosea	fuzzy	6
14_4_22	14	4	22	DP	18s	Eukaryota	Stramenopiles	Bacillariophyta	Biddulphiaceae	fuzzy	9
14_4_22	14	4	22	DP	18s	Eukaryota	Stramenopiles	Bacillariophyta	Coscinodiscophyceae	fuzzy	2
14_4_22	14	4	22	DP	18s	Eukaryota	Stramenopiles	Bacillariophyta	Thalassiosiraceae	fuzzy	2
14_4_22	14	4	22	DP	18s	Eukaryota	Stramenopiles	Bacillariophyta	Triceratiaceae	fuzzy	2
14_4_22	14	4	22	DP	18s	Eukaryota	Stramenopiles	Chrysophyceae	Spumella	fuzzy	2
14_4_22	14	4	22	DP	18s	Eukaryota	Stramenopiles	NO MATCH	Stramenopiles	fuzzy	2
14_4_22	14	4	22	DP	18s	Eukaryota	Stramenopiles	PX clade	Mischococcales	fuzzy	2
14_4_22	14	4	22	DP	18s	Eukaryota	Viridiplantae	Chlorophyta	Chlorellaceae	fuzzy	4
14_4_22	14	4	22	DP	18s	Eukaryota	Viridiplantae	Streptophyta	Arachis	fuzzy	7
14_4_22	14	4	22	DP	18s	Eukaryota	Viridiplantae	Streptophyta	Spirogyra	fuzzy	2
14_4_22	14	4	22	DP	18s	Eukaryota	environmental samples	named eukaryotic clones	named eukaryotic clones	fuzzy	2
15_6_24	15	6	24	CM	18s	Eukaryota	Alveolata	Ciliophora	Strombidiidae	fuzzy	2
15_6_24	15	6	24	CM	18s	Eukaryota	Alveolata	Dinophyceae	Dinophyceae	fuzzy	68
15_6_24	15	6	24	CM	18s	Eukaryota	Alveolata	Dinophyceae	Gymnodiniales	fuzzy	1185
15_6_24	15	6	24	CM	18s	Eukaryota	Alveolata	Dinophyceae	Peridiniales	fuzzy	187
15_6_24	15	6	24	CM	18s	Eukaryota	Alveolata	Dinophyceae	Polykrikaceae	fuzzy	462
15_6_24	15	6	24	CM	18s	Eukaryota	Alveolata	Dinophyceae	Protoperidinium	fuzzy	2
15_6_24	15	6	24	CM	18s	Eukaryota	Alveolata	Dinophyceae	environmental samples	fuzzy	2
15_6_24	15	6	24	CM	18s	Eukaryota	Amoebozoa	Discosea	Discosea	fuzzy	3
15_6_24	15	6	24	CM	18s	Eukaryota	Cryptophyta	Cryptomonadales	Cryptomonadaceae	fuzzy	3
15_6_24	15	6	24	CM	18s	Eukaryota	Cryptophyta	unclassified Cryptophyta	unclassified Cryptophyta	fuzzy	2
