gene	sample	domain_name	division_name	class_name	lowest_classification_name	placement_type	RR_count
BB042214BCM18S	BB042214BCM18S	Eukaryota	Alveolata	Dinophyceae	Dinophyceae	fuzzy	13
BB042214BCM18S	BB042214BCM18S	Eukaryota	Alveolata	Dinophyceae	Gymnodiniales	fuzzy	255
BB042214BCM18S	BB042214BCM18S	Eukaryota	Alveolata	Dinophyceae	Peridiniales	fuzzy	36
BB042214BCM18S	BB042214BCM18S	Eukaryota	Alveolata	Dinophyceae	Protoperidinium	fuzzy	2
BB042214BCM18S	BB042214BCM18S	Eukaryota	Alveolata	Dinophyceae	Syndiniales	fuzzy	3
BB042214BCM18S	BB042214BCM18S	Eukaryota	Opisthokonta	Metazoa	Calanoida	fuzzy	55
BB042214BCM18S	BB042214BCM18S	Eukaryota	Opisthokonta	Metazoa	Calcaxonia	fuzzy	16
BB042214BCM18S	BB042214BCM18S	Eukaryota	Opisthokonta	Metazoa	Nemertodermatidae	fuzzy	2
BB042214BCM18S	BB042214BCM18S	Eukaryota	Stramenopiles	Bacillariophyta	Biddulphiaceae	fuzzy	2
BB042214BCM18S	BB042214BCM18S	Eukaryota	Stramenopiles	Bacillariophyta	Biddulphiophycidae	fuzzy	3
BB042214BCM18S	BB042214BCM18S	Eukaryota	Stramenopiles	Bacillariophyta	Thalassiosiraceae	fuzzy	9
BB042214BCM18S	BB042214BCM18S	Eukaryota	Stramenopiles	NO MATCH	Stramenopiles	fuzzy	5
BB042214BCM18S	BB042214BCM18S	Eukaryota	Stramenopiles	Synurophyceae	Synurophyceae	fuzzy	6
BB042214BDp18S	BB042214BDp18S	Eukaryota	Alveolata	Apicomplexa	Piroplasmida	fuzzy	2
BB042214BDp18S	BB042214BDp18S	Eukaryota	Alveolata	Ciliophora	Intramacronucleata	fuzzy	2
BB042214BDp18S	BB042214BDp18S	Eukaryota	Alveolata	Ciliophora	Spirotrichea	fuzzy	3
BB042214BDp18S	BB042214BDp18S	Eukaryota	Alveolata	Ciliophora	Strombidiidae	fuzzy	5
BB042214BDp18S	BB042214BDp18S	Eukaryota	Alveolata	Ciliophora	Tintinnopsis	fuzzy	3
BB042214BDp18S	BB042214BDp18S	Eukaryota	Alveolata	Dinophyceae	Dinophyceae	fuzzy	72
BB042214BDp18S	BB042214BDp18S	Eukaryota	Alveolata	Dinophyceae	Gymnodiniales	fuzzy	660
BB042214BDp18S	BB042214BDp18S	Eukaryota	Alveolata	Dinophyceae	Peridiniales	fuzzy	98
BB042214BDp18S	BB042214BDp18S	Eukaryota	Alveolata	Dinophyceae	Polykrikaceae	fuzzy	31
