gene	sample	domain_name	division_name	placement_type	RR_count
BB042214BCM18S	BB042214BCM18S	Eukaryota	Alveolata	fuzzy	309
BB042214BCM18S	BB042214BCM18S	Eukaryota	Opisthokonta	fuzzy	73
BB042214BCM18S	BB042214BCM18S	Eukaryota	Stramenopiles	fuzzy	25
BB042214BDp18S	BB042214BDp18S	Eukaryota	Alveolata	fuzzy	895
BB042214BDp18S	BB042214BDp18S	Eukaryota	Amoebozoa	fuzzy	6
BB042214BDp18S	BB042214BDp18S	Eukaryota	Opisthokonta	fuzzy	307
BB042214BDp18S	BB042214BDp18S	Eukaryota	Rhizaria	fuzzy	33
BB042214BDp18S	BB042214BDp18S	Eukaryota	Stramenopiles	fuzzy	21
BB042214BDp18S	BB042214BDp18S	Eukaryota	Viridiplantae	fuzzy	13
BB042214BDp18S	BB042214BDp18S	Eukaryota	environmental samples	fuzzy	2
BB062415BCM18S	BB062415BCM18S	Eukaryota	Alveolata	fuzzy	1908
BB062415BCM18S	BB062415BCM18S	Eukaryota	Amoebozoa	fuzzy	3
BB062415BCM18S	BB062415BCM18S	Eukaryota	Cryptophyta	fuzzy	5
BB062415BCM18S	BB062415BCM18S	Eukaryota	Opisthokonta	fuzzy	484
BB062415BCM18S	BB062415BCM18S	Eukaryota	Rhizaria	fuzzy	17
BB062415BCM18S	BB062415BCM18S	Eukaryota	Stramenopiles	fuzzy	76
BB062415BCM18S	BB062415BCM18S	Eukaryota	Viridiplantae	fuzzy	37
BB062415BCM18S	BB062415BCM18S	Eukaryota	environmental samples	fuzzy	2
BB062415BDp18S	BB062415BDp18S	Eukaryota	Alveolata	fuzzy	389
BB062415BDp18S	BB062415BDp18S	Eukaryota	Cryptophyta	fuzzy	187
BB062415BDp18S	BB062415BDp18S	Eukaryota	Opisthokonta	fuzzy	1846
BB062415BDp18S	BB062415BDp18S	Eukaryota	Rhizaria	fuzzy	70
BB062415BDp18S	BB062415BDp18S	Eukaryota	Stramenopiles	fuzzy	281
BB062415BDp18S	BB062415BDp18S	Eukaryota	Viridiplantae	fuzzy	22
BB062415BDp18S	BB062415BDp18S	Eukaryota	environmental samples	fuzzy	13
BB062514BCM18S	BB062514BCM18S	Eukaryota	Alveolata	fuzzy	8262
BB062514BCM18S	BB062514BCM18S	Eukaryota	Cryptophyta	fuzzy	3
BB062514BCM18S	BB062514BCM18S	Eukaryota	Opisthokonta	fuzzy	14
BB062514BCM18S	BB062514BCM18S	Eukaryota	Stramenopiles	fuzzy	67
BB062514BCM18S	BB062514BCM18S	Eukaryota	Viridiplantae	fuzzy	23
BB062514BDp18S	BB062514BDp18S	Eukaryota	Alveolata	fuzzy	12866
BB062514BDp18S	BB062514BDp18S	Eukaryota	Amoebozoa	fuzzy	4
BB062514BDp18S	BB062514BDp18S	Eukaryota	Cryptophyta	fuzzy	51
BB062514BDp18S	BB062514BDp18S	Eukaryota	Opisthokonta	fuzzy	2659
BB062514BDp18S	BB062514BDp18S	Eukaryota	Rhizaria	fuzzy	59
BB062514BDp18S	BB062514BDp18S	Eukaryota	Stramenopiles	fuzzy	152
BB062514BDp18S	BB062514BDp18S	Eukaryota	Viridiplantae	fuzzy	48
BB062514BDp18S	BB062514BDp18S	Eukaryota	environmental samples	fuzzy	40
BB063016BDp18S_SSU_18S_redup	BB0663016BDp18S	Eukaryota	Alveolata	fuzzy	337
BB063016BDp18S_SSU_18S_redup	BB0663016BDp18S	Eukaryota	Cryptophyta	fuzzy	15
BB063016BDp18S_SSU_18S_redup	BB0663016BDp18S	Eukaryota	Opisthokonta	fuzzy	166
BB063016BDp18S_SSU_18S_redup	BB0663016BDp18S	Eukaryota	Rhizaria	fuzzy	20
BB063016BDp18S_SSU_18S_redup	BB0663016BDp18S	Eukaryota	Stramenopiles	fuzzy	148
BB063016BDp18S_SSU_18S_redup	BB0663016BDp18S	Eukaryota	Viridiplantae	fuzzy	43
BB063016BDp18S_SSU_18S_redup	BB0663016BDp18S	Eukaryota	environmental samples	fuzzy	2
BB063016BSu18S_SSU_18S_redup	BB063016BSu18S	Eukaryota	Alveolata	fuzzy	73
BB063016BSu18S_SSU_18S_redup	BB063016BSu18S	Eukaryota	Cryptophyta	fuzzy	2
BB063016BSu18S_SSU_18S_redup	BB063016BSu18S	Eukaryota	Opisthokonta	fuzzy	14
BB063016BSu18S_SSU_18S_redup	BB063016BSu18S	Eukaryota	Stramenopiles	fuzzy	3
BB063016BSu18S_SSU_18S_redup	BB063016BSu18S	Eukaryota	Viridiplantae	fuzzy	15
BB070115BCM18S	BB070115BCM18S	Eukaryota	Alveolata	fuzzy	1069
BB070115BCM18S	BB070115BCM18S	Eukaryota	Opisthokonta	fuzzy	240
BB070115BCM18S	BB070115BCM18S	Eukaryota	Rhizaria	fuzzy	4
BB070115BCM18S	BB070115BCM18S	Eukaryota	Stramenopiles	fuzzy	37
BB070115BCM18S	BB070115BCM18S	Eukaryota	Viridiplantae	fuzzy	13
BB070115BDp18S	BB070115BDp18S	Eukaryota	Alveolata	fuzzy	6126
BB070115BDp18S	BB070115BDp18S	Eukaryota	Cryptophyta	fuzzy	36
BB070115BDp18S	BB070115BDp18S	Eukaryota	Opisthokonta	fuzzy	1342
BB070115BDp18S	BB070115BDp18S	Eukaryota	Rhizaria	fuzzy	19
BB070115BDp18S	BB070115BDp18S	Eukaryota	Stramenopiles	fuzzy	68
BB070115BDp18S	BB070115BDp18S	Eukaryota	Viridiplantae	fuzzy	46
BB070214BCM18S	BB070214BCM18S	Eukaryota	Alveolata	fuzzy	5497
BB070214BCM18S	BB070214BCM18S	Eukaryota	Amoebozoa	fuzzy	9
BB070214BCM18S	BB070214BCM18S	Eukaryota	Cryptophyta	fuzzy	14
BB070214BCM18S	BB070214BCM18S	Eukaryota	Opisthokonta	fuzzy	289
BB070214BCM18S	BB070214BCM18S	Eukaryota	Rhizaria	fuzzy	46
BB070214BCM18S	BB070214BCM18S	Eukaryota	Stramenopiles	fuzzy	212
BB070214BCM18S	BB070214BCM18S	Eukaryota	Viridiplantae	fuzzy	48
BB070214BDp18S	BB070214BDp18S	Eukaryota	Alveolata	fuzzy	7376
BB070214BDp18S	BB070214BDp18S	Eukaryota	Cryptophyta	fuzzy	9
BB070214BDp18S	BB070214BDp18S	Eukaryota	Opisthokonta	fuzzy	81
BB070214BDp18S	BB070214BDp18S	Eukaryota	Rhizaria	fuzzy	12
