gene	sample	domain_name	division_name	placement_type	RR_count
BB042214BCM18S	BB042214BCM18S	Eukaryota	Alveolata	confident	8011
BB042214BCM18S	BB042214BCM18S	Eukaryota	Amoebozoa	confident	9
BB042214BCM18S	BB042214BCM18S	Eukaryota	Cryptophyta	confident	7
BB042214BCM18S	BB042214BCM18S	Eukaryota	Opisthokonta	confident	11816
BB042214BCM18S	BB042214BCM18S	Eukaryota	Rhizaria	confident	100
BB042214BCM18S	BB042214BCM18S	Eukaryota	Stramenopiles	confident	467
BB042214BCM18S	BB042214BCM18S	Eukaryota	Viridiplantae	confident	9
BB042214BCM18S	BB042214BCM18S	Eukaryota	environmental samples	confident	64
BB042214BDp18S	BB042214BDp18S	Eukaryota	Alveolata	confident	18993
BB042214BDp18S	BB042214BDp18S	Eukaryota	Amoebozoa	confident	24
BB042214BDp18S	BB042214BDp18S	Eukaryota	Cryptophyta	confident	70
BB042214BDp18S	BB042214BDp18S	Eukaryota	Opisthokonta	confident	16832
BB042214BDp18S	BB042214BDp18S	Eukaryota	Rhizaria	confident	365
BB042214BDp18S	BB042214BDp18S	Eukaryota	Stramenopiles	confident	1429
BB042214BDp18S	BB042214BDp18S	Eukaryota	Viridiplantae	confident	72
BB042214BDp18S	BB042214BDp18S	Eukaryota	environmental samples	confident	119
BB062415BCM18S	BB062415BCM18S	Eukaryota	Alveolata	confident	19340
BB062415BCM18S	BB062415BCM18S	Eukaryota	Amoebozoa	confident	17
BB062415BCM18S	BB062415BCM18S	Eukaryota	Cryptophyta	confident	10
BB062415BCM18S	BB062415BCM18S	Eukaryota	Glaucocystophyceae	confident	5
BB062415BCM18S	BB062415BCM18S	Eukaryota	Opisthokonta	confident	41112
BB062415BCM18S	BB062415BCM18S	Eukaryota	Rhizaria	confident	443
BB062415BCM18S	BB062415BCM18S	Eukaryota	Stramenopiles	confident	5204
BB062415BCM18S	BB062415BCM18S	Eukaryota	Viridiplantae	confident	599
BB062415BCM18S	BB062415BCM18S	Eukaryota	environmental samples	confident	884
BB062415BDp18S	BB062415BDp18S	Eukaryota	Alveolata	confident	6484
BB062415BDp18S	BB062415BDp18S	Eukaryota	Amoebozoa	confident	101
BB062415BDp18S	BB062415BDp18S	Eukaryota	Cryptophyta	confident	219
BB062415BDp18S	BB062415BDp18S	Eukaryota	NO MATCH	confident	21
BB062415BDp18S	BB062415BDp18S	Eukaryota	Opisthokonta	confident	23806
BB062415BDp18S	BB062415BDp18S	Eukaryota	Rhizaria	confident	2436
BB062415BDp18S	BB062415BDp18S	Eukaryota	Stramenopiles	confident	2607
BB062415BDp18S	BB062415BDp18S	Eukaryota	Viridiplantae	confident	107
BB062415BDp18S	BB062415BDp18S	Eukaryota	environmental samples	confident	329
BB062514BCM18S	BB062514BCM18S	Eukaryota	Alveolata	confident	78171
BB062514BCM18S	BB062514BCM18S	Eukaryota	Amoebozoa	confident	6
BB062514BCM18S	BB062514BCM18S	Eukaryota	Cryptophyta	confident	103
BB062514BCM18S	BB062514BCM18S	Eukaryota	Opisthokonta	confident	1359
BB062514BCM18S	BB062514BCM18S	Eukaryota	Rhizaria	confident	52
BB062514BCM18S	BB062514BCM18S	Eukaryota	Stramenopiles	confident	922
BB062514BCM18S	BB062514BCM18S	Eukaryota	Viridiplantae	confident	3874
BB062514BCM18S	BB062514BCM18S	Eukaryota	environmental samples	confident	2
BB062514BDp18S	BB062514BDp18S	Eukaryota	Alveolata	confident	54875
BB062514BDp18S	BB062514BDp18S	Eukaryota	Amoebozoa	confident	113
BB062514BDp18S	BB062514BDp18S	Eukaryota	Cryptophyta	confident	407
BB062514BDp18S	BB062514BDp18S	Eukaryota	Haptophyceae	confident	2
BB062514BDp18S	BB062514BDp18S	Eukaryota	NO MATCH	confident	2
BB062514BDp18S	BB062514BDp18S	Eukaryota	Opisthokonta	confident	14657
BB062514BDp18S	BB062514BDp18S	Eukaryota	Rhizaria	confident	1467
BB062514BDp18S	BB062514BDp18S	Eukaryota	Stramenopiles	confident	9187
BB062514BDp18S	BB062514BDp18S	Eukaryota	Viridiplantae	confident	919
BB062514BDp18S	BB062514BDp18S	Eukaryota	environmental samples	confident	594
BB063016BDp18S_SSU_18S_redup	BB0663016BDp18S	Eukaryota	Alveolata	confident	3118
BB063016BDp18S_SSU_18S_redup	BB0663016BDp18S	Eukaryota	Amoebozoa	confident	5
BB063016BDp18S_SSU_18S_redup	BB0663016BDp18S	Eukaryota	Cryptophyta	confident	17
BB063016BDp18S_SSU_18S_redup	BB0663016BDp18S	Eukaryota	Opisthokonta	confident	2436
BB063016BDp18S_SSU_18S_redup	BB0663016BDp18S	Eukaryota	Rhizaria	confident	127
BB063016BDp18S_SSU_18S_redup	BB0663016BDp18S	Eukaryota	Stramenopiles	confident	789
BB063016BDp18S_SSU_18S_redup	BB0663016BDp18S	Eukaryota	Viridiplantae	confident	131
BB063016BDp18S_SSU_18S_redup	BB0663016BDp18S	Eukaryota	environmental samples	confident	31
BB063016BSu18S_SSU_18S_redup	BB063016BSu18S	Eukaryota	Alveolata	confident	1331
BB063016BSu18S_SSU_18S_redup	BB063016BSu18S	Eukaryota	Opisthokonta	confident	1453
BB063016BSu18S_SSU_18S_redup	BB063016BSu18S	Eukaryota	Rhizaria	confident	10
BB063016BSu18S_SSU_18S_redup	BB063016BSu18S	Eukaryota	Stramenopiles	confident	29
BB063016BSu18S_SSU_18S_redup	BB063016BSu18S	Eukaryota	Viridiplantae	confident	50
BB070115BCM18S	BB070115BCM18S	Eukaryota	Alveolata	confident	2655
BB070115BCM18S	BB070115BCM18S	Eukaryota	Cryptophyta	confident	5
BB070115BCM18S	BB070115BCM18S	Eukaryota	Euglenozoa	confident	2
BB070115BCM18S	BB070115BCM18S	Eukaryota	Opisthokonta	confident	23081
BB070115BCM18S	BB070115BCM18S	Eukaryota	Rhizaria	confident	201
BB070115BCM18S	BB070115BCM18S	Eukaryota	Stramenopiles	confident	1351
BB070115BCM18S	BB070115BCM18S	Eukaryota	Viridiplantae	confident	76
BB070115BCM18S	BB070115BCM18S	Eukaryota	environmental samples	confident	34
BB070115BDp18S	BB070115BDp18S	Eukaryota	Alveolata	confident	42333
BB070115BDp18S	BB070115BDp18S	Eukaryota	Amoebozoa	confident	3
BB070115BDp18S	BB070115BDp18S	Eukaryota	Cryptophyta	confident	77
BB070115BDp18S	BB070115BDp18S	Eukaryota	Opisthokonta	confident	21509
BB070115BDp18S	BB070115BDp18S	Eukaryota	Rhizaria	confident	179
BB070115BDp18S	BB070115BDp18S	Eukaryota	Stramenopiles	confident	1433
BB070115BDp18S	BB070115BDp18S	Eukaryota	Viridiplantae	confident	87
BB070115BDp18S	BB070115BDp18S	Eukaryota	environmental samples	confident	46
BB070214BCM18S	BB070214BCM18S	Eukaryota	Alveolata	confident	44898
BB070214BCM18S	BB070214BCM18S	Eukaryota	Amoebozoa	confident	12
BB070214BCM18S	BB070214BCM18S	Eukaryota	Cryptophyta	confident	105
BB070214BCM18S	BB070214BCM18S	Eukaryota	NO MATCH	confident	3
BB070214BCM18S	BB070214BCM18S	Eukaryota	Opisthokonta	confident	2201
BB070214BCM18S	BB070214BCM18S	Eukaryota	Rhizaria	confident	222
BB070214BCM18S	BB070214BCM18S	Eukaryota	Stramenopiles	confident	3360
BB070214BCM18S	BB070214BCM18S	Eukaryota	Viridiplantae	confident	678
BB070214BCM18S	BB070214BCM18S	Eukaryota	environmental samples	confident	49
BB070214BDp18S	BB070214BDp18S	Eukaryota	Alveolata	confident	9502
BB070214BDp18S	BB070214BDp18S	Eukaryota	Amoebozoa	confident	19
BB070214BDp18S	BB070214BDp18S	Eukaryota	Cryptophyta	confident	69
BB070214BDp18S	BB070214BDp18S	Eukaryota	NO MATCH	confident	2
BB070214BDp18S	BB070214BDp18S	Eukaryota	Opisthokonta	confident	1874
BB070214BDp18S	BB070214BDp18S	Eukaryota	Rhizaria	confident	256
BB070214BDp18S	BB070214BDp18S	Eukaryota	Stramenopiles	confident	810
BB070214BDp18S	BB070214BDp18S	Eukaryota	Viridiplantae	confident	163
BB070214BDp18S	BB070214BDp18S	Eukaryota	environmental samples	confident	90
BB070616BDp18S	BB070616BDp18S	Eukaryota	Alveolata	confident	8820
BB070616BDp18S	BB070616BDp18S	Eukaryota	Amoebozoa	confident	9
BB070616BDp18S	BB070616BDp18S	Eukaryota	Cryptophyta	confident	145
