gene	sample	domain_name	division_name	class_name	lowest_classification_name	placement_type	RR_count
BB042214BCM18S	BB042214BCM18S	Eukaryota	Alveolata	Ciliophora	Choreotrichia	confident	34
BB042214BCM18S	BB042214BCM18S	Eukaryota	Alveolata	Ciliophora	Scuticociliatia	confident	2
BB042214BCM18S	BB042214BCM18S	Eukaryota	Alveolata	Ciliophora	Spirotrichea	confident	2
BB042214BCM18S	BB042214BCM18S	Eukaryota	Alveolata	Ciliophora	Strombidiidae	confident	190
BB042214BCM18S	BB042214BCM18S	Eukaryota	Alveolata	Ciliophora	Tintinnopsis	confident	2
BB042214BCM18S	BB042214BCM18S	Eukaryota	Alveolata	Dinophyceae	Dinophyceae	confident	451
BB042214BCM18S	BB042214BCM18S	Eukaryota	Alveolata	Dinophyceae	Gymnodiniales	confident	680
BB042214BCM18S	BB042214BCM18S	Eukaryota	Alveolata	Dinophyceae	Peridiniales	confident	6352
BB042214BCM18S	BB042214BCM18S	Eukaryota	Alveolata	Dinophyceae	Polykrikaceae	confident	36
BB042214BCM18S	BB042214BCM18S	Eukaryota	Alveolata	Dinophyceae	Protoperidinium	confident	55
BB042214BCM18S	BB042214BCM18S	Eukaryota	Alveolata	Dinophyceae	Syndiniales	confident	8
BB042214BCM18S	BB042214BCM18S	Eukaryota	Alveolata	Dinophyceae	environmental samples	confident	199
BB042214BCM18S	BB042214BCM18S	Eukaryota	Amoebozoa	Discosea	Acanthamoeba	confident	7
BB042214BCM18S	BB042214BCM18S	Eukaryota	Amoebozoa	Mycetozoa	Stemonitis	confident	2
BB042214BCM18S	BB042214BCM18S	Eukaryota	Cryptophyta	Pyrenomonadales	Pyrenomonadaceae	confident	7
BB042214BCM18S	BB042214BCM18S	Eukaryota	Opisthokonta	Fungi	Sordariomycetidae	confident	15
BB042214BCM18S	BB042214BCM18S	Eukaryota	Opisthokonta	Metazoa	Ascidiacea	confident	7
BB042214BCM18S	BB042214BCM18S	Eukaryota	Opisthokonta	Metazoa	Asteriidae	confident	63
BB042214BCM18S	BB042214BCM18S	Eukaryota	Opisthokonta	Metazoa	Calanoida	confident	11325
BB042214BCM18S	BB042214BCM18S	Eukaryota	Opisthokonta	Metazoa	Calcaxonia	confident	40
BB042214BCM18S	BB042214BCM18S	Eukaryota	Opisthokonta	Metazoa	Centropages	confident	73
BB042214BCM18S	BB042214BCM18S	Eukaryota	Opisthokonta	Metazoa	Eumetazoa	confident	6
BB042214BCM18S	BB042214BCM18S	Eukaryota	Opisthokonta	Metazoa	Heteronemertea	confident	35
BB042214BCM18S	BB042214BCM18S	Eukaryota	Opisthokonta	Metazoa	Macoma	confident	10
BB042214BCM18S	BB042214BCM18S	Eukaryota	Opisthokonta	Metazoa	Montacutidae	confident	30
BB042214BCM18S	BB042214BCM18S	Eukaryota	Opisthokonta	Metazoa	Nemertodermatidae	confident	7
BB042214BCM18S	BB042214BCM18S	Eukaryota	Opisthokonta	Metazoa	Oweniidae	confident	9
BB042214BCM18S	BB042214BCM18S	Eukaryota	Opisthokonta	Metazoa	Pectinoidea	confident	6
BB042214BCM18S	BB042214BCM18S	Eukaryota	Opisthokonta	Metazoa	Peracarida	confident	5
BB042214BCM18S	BB042214BCM18S	Eukaryota	Opisthokonta	Metazoa	Ploima	confident	8
BB042214BCM18S	BB042214BCM18S	Eukaryota	Opisthokonta	Metazoa	Podoplea	confident	2
BB042214BCM18S	BB042214BCM18S	Eukaryota	Opisthokonta	Metazoa	Polynoidae	confident	68
BB042214BCM18S	BB042214BCM18S	Eukaryota	Opisthokonta	Metazoa	Pseudodiaptomidae	confident	44
BB042214BCM18S	BB042214BCM18S	Eukaryota	Opisthokonta	Metazoa	Rotifera	confident	3
BB042214BCM18S	BB042214BCM18S	Eukaryota	Opisthokonta	Metazoa	Sigalionidae	confident	47
BB042214BCM18S	BB042214BCM18S	Eukaryota	Opisthokonta	Metazoa	Spirobolida	confident	2
BB042214BCM18S	BB042214BCM18S	Eukaryota	Opisthokonta	Opisthokonta incertae sedis	Opisthokonta incertae sedis	confident	11
BB042214BCM18S	BB042214BCM18S	Eukaryota	Rhizaria	Cercozoa	Cercomonadida	confident	7
BB042214BCM18S	BB042214BCM18S	Eukaryota	Rhizaria	Cercozoa	Cercomonadidae	confident	26
BB042214BCM18S	BB042214BCM18S	Eukaryota	Rhizaria	Cercozoa	Cercozoa	confident	2
BB042214BCM18S	BB042214BCM18S	Eukaryota	Rhizaria	Cercozoa	Protaspis	confident	2
BB042214BCM18S	BB042214BCM18S	Eukaryota	Rhizaria	Cercozoa	Silicofilosea	confident	52
BB042214BCM18S	BB042214BCM18S	Eukaryota	Rhizaria	Cercozoa	unclassified Cercozoa	confident	11
